n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
65,8120,gauche,9,3,1,2,1,537,123,105,41,9,5,3,4,2,2,5,3,1,1,1,8,2,1,1,1
66,8302,gauche,10,3,2,2,1,562,107,82,36,8,5,3,4,2,2,4,3,1,1,1,6,2,1,1,1
67,8428,gauche,10,3,2,2,1,505,76,36,20,6,6,4,5,2,2,3,2,1,1,1,5,1,1,1,1
68,8562,gauche,10,3,2,2,1,505,76,36,20,6,6,4,5,2,2,3,2,1,1,1,5,1,1,1,1
69,8682,gauche,8,3,2,2,1,417,69,23,14,6,6,5,5,2,2,2,2,1,1,1,4,1,1,1,1
70,8803,gauche,6,3,2,1,1,318,80,18,11,6,6,6,5,2,1,2,2,1,1,1,4,1,1,1,1
71,8945,gauche,3,2,2,1,1,270,159,19,14,8,4,8,7,2,2,2,2,2,0,0,3,1,1,1,1
72,9011,gauche,3,2,2,1,1,270,159,19,14,8,4,8,7,2,2,2,2,2,0,0,3,1,1,1,1
73,9221,gauche,3,2,2,1,1,411,246,20,22,9,2,7,11,2,2,2,4,4,1,0,3,2,3,1,1
74,9223,gauche,3,2,2,1,1,411,246,20,22,9,2,7,11,2,2,2,4,4,1,0,3,2,3,1,1
75,9435,gauche,2,2,4,1,1,468,245,17,25,8,1,4,18,2,2,2,4,6,1,1,2,3,4,1,1
76,9507,gauche,2,2,4,1,1,468,245,17,25,8,1,4,18,2,2,2,4,6,1,1,2,3,4,1,1
77,9653,gauche,2,2,4,1,1,432,209,14,24,7,1,4,20,2,3,3,4,6,1,1,2,3,5,1,1
78,9800,gauche,3,3,4,1,1,331,122,11,20,6,2,6,20,3,3,3,3,5,1,1,2,4,4,1,1
79,9891,gauche,3,3,4,1,1,331,122,11,20,6,2,6,20,3,3,3,3,5,1,1,2,4,4,1,1
80,10055,gauche,4,3,3,1,1,283,94,10,19,6,2,9,18,3,2,3,2,4,1,1,2,4,4,1,1
81,10132,gauche,6,4,3,1,1,269,80,10,18,6,2,12,15,3,2,3,2,2,1,1,2,4,3,1,1
82,10314,gauche,10,5,3,1,1,283,75,20,17,6,2,15,8,2,2,2,2,1,1,1,3,4,2,1,1
83,10400,gauche,10,5,3,1,1,283,75,20,17,6,2,15,8,2,2,2,2,1,1,1,3,4,2,1,1
84,10574,gauche,11,5,3,1,1,310,76,28,16,6,2,15,5,2,2,1,2,1,1,1,3,4,2,0,1
85,10650,gauche,11,5,3,1,1,350,78,36,16,6,3,15,3,2,2,1,2,1,1,1,2,4,1,0,1
86,10728,gauche,11,4,3,1,1,350,80,42,15,6,3,14,2,2,2,1,2,1,1,1,2,4,1,0,1
87,10989,gauche,10,3,3,1,1,326,72,41,13,5,5,14,2,2,2,2,2,1,1,1,3,4,1,1,1
88,10991,gauche,10,3,3,1,1,326,72,41,13,5,5,14,2,2,2,2,2,1,1,1,3,4,1,1,1
89,11168,gauche,9,3,3,1,1,307,62,36,12,6,5,14,2,2,2,2,3,1,1,1,3,4,1,1,1
90,11334,gauche,8,3,2,1,1,280,52,28,11,6,5,15,3,3,2,2,3,1,1,1,3,4,1,1,1
91,11414,gauche,7,3,2,1,1,267,44,20,10,6,4,16,5,3,3,2,3,1,1,1,3,4,1,1,1
92,11492,gauche,6,3,1,1,1,259,39,13,9,6,3,17,7,4,3,2,3,1,1,1,3,4,1,1,1
93,11659,gauche,5,3,2,1,1,256,37,9,9,6,2,17,12,4,3,2,3,2,1,1,3,4,1,1,1
94,11760,gauche,5,4,2,1,1,256,37,8,10,5,2,17,17,4,3,2,4,3,1,1,3,5,1,1,1
95,11936,gauche,5,9,5,2,1,283,35,19,13,6,4,20,27,5,3,3,9,7,2,2,4,10,4,2,1
96,12126,gauche,6,14,6,2,2,303,34,29,14,7,5,23,30,4,3,4,15,10,3,2,5,14,6,2,1
97,12126,gauche,6,14,6,2,2,303,34,29,14,7,5,23,30,4,3,4,15,10,3,2,5,14,6,2,1
98,12302,gauche,8,18,8,3,2,323,31,39,15,8,7,26,30,4,4,5,20,12,3,2,7,18,7,2,2
99,12405,gauche,9,21,9,3,2,313,28,46,16,10,7,29,28,4,4,6,24,13,3,2,7,21,9,2,2
100,12595,gauche,8,11,10,1,2,235,49,30,11,11,4,13,20,2,3,4,11,9,2,1,4,10,8,1,1
101,12678,gauche,7,7,9,1,1,249,64,25,10,10,3,9,18,2,2,3,6,7,1,1,3,7,7,1,1
102,12881,gauche,6,5,8,1,1,270,76,24,10,10,2,7,16,2,2,2,4,5,1,1,3,6,5,1,1
103,12981,gauche,4,4,6,1,1,299,86,31,13,10,3,6,13,2,2,2,3,3,1,1,3,5,4,1,1
104,13079,gauche,3,3,4,1,1,341,93,46,17,11,3,7,9,2,2,2,2,2,0,1,3,5,3,0,1
105,13185,gauche,2,3,3,1,1,398,98,68,23,13,4,8,7,2,1,2,2,1,0,0,3,5,2,0,0
106,13280,gauche,2,3,1,1,0,464,101,92,30,16,4,9,6,2,1,2,2,1,1,0,3,4,1,0,0
107,13476,gauche,3,3,1,1,0,528,103,112,37,18,5,11,5,3,1,2,2,1,1,0,3,4,1,0,0
108,13587,gauche,4,3,0,1,0,573,103,123,43,19,5,13,6,3,1,2,2,1,1,0,3,4,1,1,0
109,13677,gauche,5,2,1,1,0,579,100,122,47,18,5,15,6,4,1,2,2,1,1,0,4,4,1,1,0
110,13788,gauche,7,2,1,1,0,538,92,111,48,16,4,17,7,5,2,2,2,2,1,1,4,4,2,1,1
111,13991,gauche,7,2,2,1,1,462,80,95,46,14,4,18,8,5,2,1,2,2,1,1,5,4,2,1,1
112,14084,gauche,8,2,3,1,1,380,65,78,43,12,3,18,10,5,3,1,3,3,1,1,5,4,3,1,1
113,14197,gauche,7,3,4,2,1,337,53,65,39,11,3,16,12,6,3,1,3,4,1,1,6,4,4,2,1
114,14299,gauche,7,3,5,2,1,347,46,56,34,10,4,14,13,5,3,1,3,4,2,1,5,4,5,2,1
115,14412,gauche,6,5,5,2,1,410,47,50,31,10,5,12,13,5,3,1,3,4,2,1,5,3,4,2,1
116,14517,gauche,6,6,5,2,1,476,54,45,27,10,6,10,12,5,3,1,3,4,2,2,4,3,4,2,1
117,14742,gauche,7,8,4,2,1,521,63,39,24,10,6,9,10,4,3,1,3,3,1,2,3,3,3,2,1
118,14850,gauche,7,9,4,2,1,504,71,33,21,11,6,9,8,3,3,2,3,2,1,2,2,3,2,2,1
119,14970,gauche,7,9,3,2,1,431,76,27,18,11,6,10,6,3,3,2,3,2,1,2,2,3,1,1,1
120,15076,gauche,6,8,2,1,1,321,75,22,15,10,5,10,4,2,2,2,3,1,1,2,1,2,1,1,1
121,15194,gauche,5,7,2,1,1,221,71,18,13,10,4,11,3,1,2,3,3,1,1,2,1,2,0,1,1
122,15301,gauche,4,6,2,1,1,157,65,17,12,10,3,11,4,1,2,3,3,2,1,2,1,2,0,1,1
123,15421,gauche,3,5,2,1,1,134,59,18,12,10,2,11,5,2,2,3,4,2,1,2,1,1,1,1,1
124,15527,gauche,3,4,2,2,1,155,55,21,13,10,2,11,7,2,2,2,5,4,2,1,1,1,1,1,1
125,15652,gauche,3,4,3,3,1,200,52,24,14,11,1,12,9,4,2,2,6,5,3,1,1,2,2,2,1
126,15883,gauche,5,4,5,4,1,312,46,27,16,12,1,11,12,6,2,2,7,7,4,1,1,2,4,3,1
127,15883,gauche,5,4,5,4,1,312,46,27,16,12,1,11,12,6,2,2,7,7,4,1,1,2,4,3,1
128,16119,gauche,5,3,6,4,1,346,43,26,16,12,1,9,12,6,2,2,6,7,4,1,2,2,4,3,1
129,16232,gauche,12,3,5,3,1,357,53,22,15,13,1,5,8,5,2,1,4,5,4,1,5,2,3,3,1
130,16356,gauche,12,3,5,3,1,357,53,22,15,13,1,5,8,5,2,1,4,5,4,1,5,2,3,3,1
131,16356,gauche,30,3,4,3,1,332,80,22,16,13,1,4,5,4,2,1,3,4,3,1,15,3,2,2,1
132,16593,gauche,105,7,3,2,1,227,177,39,20,15,2,4,4,4,2,2,2,2,2,1,62,7,1,2,1
133,16707,gauche,150,10,3,2,1,183,225,57,23,16,3,6,4,4,2,2,2,2,2,1,92,10,1,2,1
134,16835,gauche,184,12,2,2,1,153,252,78,25,16,4,8,5,5,2,3,3,2,3,1,116,12,1,2,1
135,16954,gauche,194,13,2,2,1,134,250,97,26,15,4,10,4,5,2,3,3,2,3,1,125,13,1,3,1
136,17073,gauche,194,13,2,2,1,134,250,97,26,15,4,10,4,5,2,3,3,2,3,1,125,13,1,3,1
137,17205,gauche,138,11,2,2,1,158,173,109,25,13,4,12,3,4,2,2,3,1,3,1,95,11,1,2,1
138,17317,gauche,92,9,2,2,1,204,125,101,22,12,3,13,2,3,2,2,2,1,2,1,67,9,1,2,1
139,17447,gauche,92,9,2,2,1,204,125,101,22,12,3,13,2,3,2,2,2,1,2,1,67,9,1,2,1
140,17565,gauche,51,6,1,2,1,255,88,87,19,10,3,13,2,3,2,1,2,1,2,1,40,7,1,2,1
141,17699,gauche,12,4,1,1,1,327,51,57,14,9,3,14,3,3,2,1,2,1,1,1,12,4,1,2,1
142,17821,gauche,9,4,1,1,1,326,45,47,13,10,5,15,3,3,2,2,2,1,1,1,9,3,1,1,1
143,17961,gauche,9,4,1,1,1,307,42,39,14,10,7,16,4,3,2,2,2,2,1,1,8,3,1,1,1
144,18088,gauche,8,4,1,1,1,272,43,32,15,11,10,16,4,3,2,3,2,2,1,1,7,2,1,1,1
145,18227,gauche,7,4,1,1,1,235,49,26,17,12,12,16,4,2,2,4,2,2,1,1,6,1,1,1,1
146,18356,gauche,7,4,1,1,1,235,49,26,17,12,12,16,4,2,2,4,2,2,1,1,6,1,1,1,1
147,18356,gauche,5,4,1,1,1,207,58,22,19,12,13,15,4,2,2,4,2,2,1,1,5,1,1,1,1
148,18625,gauche,3,4,2,1,1,184,87,19,21,11,11,15,4,2,1,4,2,2,1,1,4,2,1,1,1
149,18625,gauche,3,4,2,1,1,184,87,19,21,11,11,15,4,2,1,4,2,2,1,1,4,2,1,1,1
150,18901,gauche,3,4,3,1,1,192,140,21,22,9,5,17,6,2,1,3,2,3,1,1,3,3,2,1,1
151,19046,gauche,4,4,4,1,1,208,168,25,23,9,3,18,8,3,2,3,2,5,2,1,3,4,4,1,1
152,19050,gauche,4,4,5,2,1,252,188,30,27,10,2,18,11,4,2,3,2,8,3,2,4,4,6,2,1
153,19179,gauche,5,4,7,3,2,316,195,37,35,11,2,16,15,6,3,4,2,12,5,3,5,4,10,4,2
154,19327,gauche,10,5,9,4,3,394,188,44,46,12,3,14,19,9,4,5,2,16,7,4,11,5,14,6,3
155,19464,gauche,28,8,11,5,4,466,170,48,56,13,4,12,21,10,4,6,2,19,9,5,26,6,17,8,3
156,19610,gauche,63,14,11,6,4,515,145,48,63,14,6,10,21,11,4,6,2,20,10,6,55,9,19,9,4
157,19749,gauche,111,22,10,5,4,521,121,43,64,13,7,9,18,10,4,6,3,19,10,6,97,14,18,9,4
158,19902,gauche,161,30,9,5,4,477,99,35,58,12,7,9,13,9,4,6,3,15,9,5,143,18,15,8,3
159,20040,gauche,197,35,7,4,3,400,83,26,47,10,7,9,8,6,3,5,3,10,7,4,178,22,11,6,3
160,20042,gauche,206,36,5,3,2,315,71,19,35,9,7,11,5,4,3,5,3,6,5,3,190,23,8,4,2
161,20194,gauche,186,32,4,2,2,244,62,18,24,8,6,12,4,3,2,4,3,3,3,3,176,21,5,2,2
162,20334,gauche,143,26,4,2,1,197,61,21,18,8,4,14,5,4,3,3,3,2,2,3,140,18,4,2,2
163,20491,gauche,92,19,3,2,1,167,71,29,16,8,3,16,8,4,3,2,4,2,2,3,93,13,3,1,2
164,20494,gauche,48,14,3,2,1,160,89,36,15,8,2,17,11,5,4,2,5,2,2,3,51,9,3,2,2
