n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
64,8091,gauche,3,2,4,1,1,6,18,33,10,19,14,19,41,11,19,6,4,5,3,10,3,2,2,1,1
65,8212,gauche,2,2,4,2,1,7,16,36,10,19,12,21,38,10,20,6,4,3,4,10,3,2,2,1,1
66,8277,gauche,2,2,5,2,1,8,14,35,10,19,10,24,35,10,20,5,4,3,4,10,3,2,2,1,1
67,8403,gauche,1,2,5,2,1,9,13,32,11,17,9,26,31,9,20,4,4,3,5,10,3,2,2,2,1
68,8586,gauche,1,2,5,2,1,11,15,28,11,15,8,28,26,9,19,4,4,3,5,9,3,2,3,2,1
69,8711,gauche,2,2,5,2,1,12,20,24,12,13,7,30,22,8,18,3,4,4,5,9,3,2,3,2,1
70,8832,gauche,5,2,5,2,1,13,26,22,13,11,8,31,18,8,16,3,5,4,5,8,5,2,4,2,1
71,8894,gauche,9,2,6,2,1,15,32,23,15,10,9,31,16,8,14,3,5,5,4,8,9,3,5,2,1
72,9029,gauche,14,3,6,2,2,19,36,25,17,10,11,29,15,8,12,3,5,5,4,8,14,4,6,2,1
73,9215,gauche,20,3,7,3,2,24,38,27,19,10,12,25,15,8,12,3,5,6,4,9,20,5,7,2,2
74,9276,gauche,23,4,8,3,2,31,38,28,21,11,12,21,16,9,12,3,4,6,4,10,25,6,7,2,2
75,9405,gauche,24,4,8,3,2,37,37,27,23,11,11,17,18,10,12,2,3,6,4,10,26,6,7,2,2
76,9608,gauche,21,4,7,3,2,42,36,26,23,12,9,15,20,11,13,3,3,5,4,11,24,6,7,2,2
77,9743,gauche,16,4,6,3,2,42,34,24,22,11,8,15,22,11,14,3,3,5,4,11,19,5,6,2,2
78,9811,gauche,16,4,6,3,2,42,34,24,22,11,8,15,22,11,14,3,3,5,4,11,19,5,6,2,2
79,9952,gauche,8,3,3,2,2,36,32,22,17,10,11,24,22,9,14,6,3,5,3,9,9,2,3,2,2
80,10027,gauche,7,2,3,3,2,31,31,21,15,10,14,27,20,8,14,7,4,5,3,8,7,1,3,2,2
81,10166,gauche,8,2,3,3,2,27,30,19,13,10,17,29,17,7,13,8,4,5,2,7,7,1,3,2,2
82,10304,gauche,11,2,3,3,2,27,30,19,12,10,19,30,14,6,13,8,5,4,2,6,8,1,4,2,2
83,10445,gauche,12,2,4,3,2,37,34,20,12,10,20,31,15,5,13,7,5,4,2,5,9,1,4,2,1
84,10520,gauche,12,2,4,3,2,60,41,24,13,11,20,33,18,6,13,6,5,3,2,5,9,1,4,2,1
85,10663,gauche,11,2,3,3,2,94,51,28,14,11,19,36,22,6,13,5,5,3,2,6,8,2,4,2,1
86,10814,gauche,9,2,3,2,1,130,61,31,14,11,18,38,25,6,13,4,4,3,2,6,7,2,4,2,1
87,10957,gauche,7,2,2,2,1,157,67,32,14,11,17,39,26,7,12,3,4,3,2,6,6,3,3,2,1
88,11030,gauche,5,2,2,2,1,165,66,29,14,10,18,36,23,6,10,3,4,3,2,5,4,3,3,1,1
89,11175,gauche,4,2,1,1,1,151,57,24,13,10,19,31,18,5,9,3,4,3,3,5,3,3,3,1,1
90,11353,gauche,4,2,1,1,1,121,43,18,11,9,21,25,13,5,8,3,4,3,3,5,3,3,3,1,1
91,11434,gauche,4,2,1,1,1,121,43,18,11,9,21,25,13,5,8,3,4,3,3,5,3,3,3,1,1
92,11524,gauche,5,2,1,1,1,55,19,11,9,8,25,15,7,3,7,4,3,3,4,4,4,2,3,1,1
93,11681,gauche,6,3,2,1,1,40,19,14,10,7,28,11,7,3,7,5,3,3,4,4,5,2,3,1,1
94,11757,gauche,7,3,2,1,1,40,26,22,11,7,30,10,8,4,7,6,2,3,4,5,5,2,3,1,1
95,11913,gauche,8,3,2,1,1,50,37,34,14,7,33,10,9,5,8,6,2,2,4,6,6,2,2,1,1
96,12073,gauche,9,3,2,1,1,65,47,49,18,7,34,12,9,7,9,6,2,2,4,7,6,1,2,1,1
97,12234,gauche,9,3,2,1,1,80,53,62,22,8,33,14,10,9,11,5,2,3,4,8,6,1,1,1,1
98,12323,gauche,9,3,2,1,1,80,53,62,22,8,33,14,10,9,11,5,2,3,4,8,6,1,1,1,1
99,12483,gauche,7,2,2,2,1,94,45,69,29,12,27,18,10,16,14,5,6,5,6,10,7,2,2,2,1
100,12563,gauche,8,5,5,4,3,92,38,64,34,16,40,31,27,32,22,37,44,37,36,29,20,15,15,13,8
101,12730,gauche,17,17,17,14,8,97,49,73,52,30,99,79,90,83,51,171,182,161,147,100,69,64,61,54,33
102,12818,gauche,17,17,17,14,8,97,49,73,52,30,99,79,90,83,51,171,182,161,147,100,69,64,61,54,33
103,12983,gauche,71,83,79,65,39,177,171,177,150,97,423,340,419,345,207,929,914,818,737,472,335,330,308,269,167
104,13080,gauche,108,126,121,99,59,246,265,260,217,142,640,516,639,519,310,1458,1402,1257,1131,720,516,509,473,411,255
105,13164,gauche,138,161,155,126,75,307,345,331,272,177,814,658,817,658,393,1901,1796,1608,1446,918,663,653,606,525,326
106,13262,gauche,149,176,169,136,81,338,386,365,294,191,883,718,892,714,427,2109,1960,1752,1576,998,725,713,662,571,354
107,13446,gauche,139,165,159,127,76,331,377,347,275,179,823,673,838,666,399,2008,1836,1636,1473,931,682,666,620,532,330
108,13654,gauche,110,132,127,101,61,292,326,285,222,145,655,540,675,532,320,1638,1470,1303,1174,741,548,531,495,422,263
109,13654,gauche,74,88,86,67,41,239,253,200,152,101,440,365,459,356,216,1127,988,867,784,495,369,354,332,280,175
110,13866,gauche,41,48,47,36,22,190,182,119,87,61,243,202,256,193,121,639,541,462,422,268,202,190,179,149,94
111,13963,gauche,18,20,20,15,10,154,130,60,42,34,111,88,114,80,56,289,230,182,170,111,85,76,73,59,37
112,14074,gauche,8,6,7,5,3,130,98,29,19,22,50,33,43,24,24,113,77,45,46,34,26,20,20,15,10
113,14171,gauche,5,2,3,2,2,107,79,18,12,19,35,19,24,8,15,63,32,6,10,12,8,4,5,2,2
114,14384,gauche,5,2,3,2,2,81,63,15,11,19,35,19,24,6,14,62,28,4,7,11,6,3,3,1,2
115,14505,gauche,4,2,3,2,2,53,47,15,10,19,32,18,26,5,14,63,26,6,7,11,7,3,4,2,2
116,14508,gauche,3,2,3,2,2,32,33,14,9,18,28,17,27,4,13,57,22,8,6,10,10,3,4,2,2
117,14732,gauche,3,1,3,2,2,21,24,14,9,16,23,15,28,5,13,45,17,9,6,9,16,4,4,2,2
118,14837,gauche,2,1,2,2,2,22,19,14,9,15,18,13,28,6,13,32,13,11,6,9,24,5,3,2,2
119,14954,gauche,3,1,2,2,2,31,15,14,9,14,15,13,28,8,14,20,10,11,6,8,33,5,3,2,2
120,15078,gauche,4,1,2,2,2,41,13,15,9,14,14,13,28,10,15,12,8,11,6,7,38,6,3,3,1
121,15210,gauche,7,1,1,3,2,51,11,17,9,14,13,13,29,11,16,8,6,10,7,7,41,6,3,3,1
122,15333,gauche,10,2,1,3,2,55,11,20,9,14,12,13,31,12,17,7,5,9,7,7,37,6,3,3,1
123,15470,gauche,12,2,2,2,2,54,12,22,8,13,11,13,33,12,18,8,5,9,7,7,33,6,3,2,1
124,15589,gauche,14,2,2,2,2,48,15,22,8,13,10,14,35,11,18,8,5,8,7,8,26,7,3,2,1
125,15725,gauche,14,2,2,2,2,40,19,21,9,13,8,14,35,10,18,7,5,8,7,8,21,7,4,2,1
126,15846,gauche,12,2,2,1,2,35,25,18,11,13,7,15,34,10,18,7,6,8,6,9,18,7,4,2,2
127,15982,gauche,9,2,2,1,2,35,33,15,14,14,6,16,31,10,18,5,7,7,7,9,16,7,5,2,2
128,16103,gauche,9,2,2,1,2,35,33,15,14,14,6,16,31,10,18,5,7,7,7,9,16,7,5,2,2
129,16240,gauche,4,2,3,1,2,45,47,11,23,18,7,13,24,12,17,4,8,5,7,9,14,6,6,2,2
130,16371,gauche,3,2,4,1,2,49,49,11,27,18,8,11,20,12,16,4,8,3,8,8,11,6,7,2,2
131,16495,gauche,6,3,4,2,2,48,47,12,28,18,9,10,16,12,15,4,7,3,7,8,12,8,7,2,2
132,16636,gauche,43,12,6,4,2,46,41,13,28,17,11,8,13,11,13,6,7,2,7,7,43,18,8,4,3
133,16772,gauche,166,36,9,10,5,42,33,14,26,14,14,8,10,10,11,8,8,2,6,6,160,45,11,10,5
134,16777,gauche,166,36,9,10,5,42,33,14,26,14,14,8,10,10,11,8,8,2,6,6,160,45,11,10,5
135,17041,gauche,780,145,25,40,16,39,19,15,20,10,20,9,5,7,7,11,8,3,4,4,736,162,27,39,16
136,17177,gauche,1173,211,34,60,23,41,16,14,18,8,23,10,4,6,6,12,8,4,4,4,1110,232,37,59,23
137,17177,gauche,1478,259,42,76,28,43,17,12,16,8,25,10,3,5,6,13,7,4,4,4,1399,282,45,75,28
