n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
92,11326,droite,448,391,348,302,192,126,60,66,49,30,541,450,412,404,216,199,204,178,159,92,660,539,510,437,277
93,11444,droite,243,211,180,156,96,88,53,50,35,18,376,261,213,206,114,120,116,99,86,47,347,289,260,222,138
94,11559,droite,61,49,33,29,11,56,51,37,25,7,211,81,29,28,22,52,48,30,23,8,71,66,40,33,14
95,11683,droite,61,49,33,29,11,56,51,37,25,7,211,81,29,28,22,52,48,30,23,8,71,66,40,33,14
96,11797,droite,50,40,25,21,6,57,51,33,23,6,178,58,14,16,14,51,46,26,20,6,57,54,27,22,6
97,11923,droite,49,41,24,20,6,59,47,28,20,6,143,45,11,16,12,54,46,26,20,7,62,54,27,21,6
98,12043,droite,47,40,22,18,6,61,41,21,16,5,105,32,9,17,10,54,43,25,18,7,63,51,25,19,7
99,12172,droite,20,16,7,5,3,43,17,6,4,2,64,19,17,19,9,25,14,8,6,4,30,17,8,6,4
100,12290,droite,10,10,3,2,2,36,11,4,2,2,56,34,34,11,7,13,6,3,3,3,20,10,4,4,3
101,12420,droite,11,10,3,3,3,34,10,5,2,2,45,38,34,9,7,14,8,5,4,3,23,13,6,5,3
102,12544,droite,10,10,4,3,3,29,10,5,3,3,34,38,32,8,7,15,10,7,4,4,24,15,9,6,4
103,12544,droite,9,10,5,3,4,22,9,6,3,3,26,36,26,7,7,14,12,9,5,4,23,17,11,6,5
104,12801,droite,7,7,6,4,4,10,7,8,5,4,28,25,14,8,8,9,13,11,4,4,17,15,12,5,5
105,12937,droite,8,6,5,3,2,14,7,5,4,2,60,30,27,15,9,5,7,6,3,2,9,7,5,2,2
106,13065,droite,8,6,4,3,1,16,8,4,3,2,57,31,27,17,8,5,6,6,3,2,7,6,4,2,2
107,13199,droite,13,5,3,4,2,29,12,4,4,2,15,20,16,12,4,8,4,4,4,2,4,3,1,2,1
108,13334,droite,13,5,3,4,2,29,12,4,4,2,15,20,16,12,4,8,4,4,4,2,4,3,1,2,1
109,13463,droite,13,5,2,2,2,22,8,2,2,1,9,11,7,9,7,6,3,3,2,1,7,3,1,1,1
110,13600,droite,64,62,45,34,9,100,78,74,59,26,174,146,121,108,40,109,108,100,73,30,452,437,404,303,113
111,13734,droite,155,147,109,82,22,213,189,184,146,64,429,354,303,257,90,267,269,247,182,74,1132,1103,1012,756,283
112,13739,droite,456,363,276,214,55,524,496,490,382,166,1214,922,819,657,224,716,726,646,474,192,3081,2957,2669,1975,739
113,13864,droite,310,236,179,140,36,348,324,320,249,107,805,604,537,426,146,470,474,419,308,124,2013,1921,1730,1278,478
114,14008,droite,174,123,93,74,19,189,171,167,130,56,430,319,284,222,77,248,247,216,160,64,1050,994,892,658,246
115,14145,droite,79,48,36,30,8,79,68,65,51,21,174,128,112,87,31,97,94,81,61,24,400,373,334,246,92
116,14292,droite,79,48,36,30,8,79,68,65,51,21,174,128,112,87,31,97,94,81,61,24,400,373,334,246,92
117,14434,droite,12,4,3,3,1,18,6,4,3,1,15,9,8,9,4,6,3,2,3,1,9,7,5,5,2
118,14580,droite,8,4,2,2,1,27,6,3,2,1,13,6,7,10,5,4,2,1,2,1,3,2,1,1,1
119,14716,droite,6,4,2,1,1,40,7,3,2,1,13,7,8,12,7,5,3,1,2,1,4,2,1,1,1
120,14863,droite,7,5,2,2,1,54,7,3,2,1,12,9,11,15,9,6,3,1,2,1,5,3,1,1,1
121,14863,droite,9,6,2,2,1,65,8,3,2,2,12,12,16,18,11,8,4,1,2,1,7,3,1,2,1
122,15004,droite,12,6,1,2,2,69,8,3,1,2,12,15,23,21,12,9,5,1,2,2,9,4,1,2,2
123,15156,droite,15,6,1,1,2,66,8,4,1,2,11,17,30,23,12,9,5,2,2,2,12,4,1,2,2
124,15295,droite,22,7,1,1,2,57,8,4,1,2,12,17,37,25,11,8,5,2,2,2,17,4,1,1,2
125,15450,droite,34,9,1,1,3,45,8,4,1,3,12,15,43,25,10,7,5,2,2,3,27,5,1,1,3
126,15593,droite,52,12,2,1,3,34,7,4,1,3,12,13,48,25,9,6,5,2,3,3,39,6,2,1,3
127,15751,droite,91,23,6,3,3,26,7,2,2,3,10,7,53,23,10,4,4,4,3,3,67,16,4,2,3
128,15755,droite,85,22,6,3,3,33,8,1,2,3,9,7,51,23,10,3,4,4,3,3,62,17,5,2,3
129,15899,droite,69,20,6,4,3,43,9,1,2,2,9,6,47,23,10,3,5,4,3,2,50,16,5,3,3
130,16064,droite,49,15,6,3,3,53,10,1,2,2,10,5,42,22,10,3,5,4,3,2,35,13,4,3,2
131,16209,droite,31,11,5,3,3,62,12,1,2,2,11,4,36,20,9,4,5,4,3,2,22,10,3,3,2
132,16213,droite,31,11,5,3,3,62,12,1,2,2,11,4,36,20,9,4,5,4,3,2,22,10,3,3,2
133,16372,droite,15,6,3,3,2,68,14,3,3,2,13,3,30,13,6,9,5,3,3,2,10,5,2,3,2
134,16522,droite,16,6,3,3,2,56,14,4,4,2,13,4,35,9,5,15,5,3,4,2,12,4,2,3,2
135,16693,droite,16,6,3,3,2,56,14,4,4,2,13,4,35,9,5,15,5,3,4,2,12,4,2,3,2
136,16843,droite,46,6,8,3,3,66,16,9,4,3,16,25,34,19,7,46,7,8,5,3,49,7,6,3,2
137,17007,droite,73,7,9,3,3,92,17,11,3,3,16,30,28,20,7,72,9,10,5,3,80,9,7,3,2
138,17010,droite,133,10,11,2,2,139,13,13,2,2,13,25,10,17,5,124,12,13,3,2,147,12,9,2,2
139,17162,droite,63,5,5,1,1,61,5,7,1,1,19,13,5,12,3,76,9,10,2,1,88,8,5,1,1
140,17330,droite,21,3,2,1,1,33,4,4,1,1,23,15,6,12,2,43,6,7,2,1,48,4,3,1,1
141,17487,droite,14,2,1,1,1,35,5,4,1,1,23,18,6,11,2,33,4,5,2,1,36,3,2,1,1
142,17490,droite,14,2,1,1,1,41,5,3,1,1,23,20,6,10,2,25,3,4,1,1,28,3,2,1,1
143,17661,droite,16,3,2,2,1,42,6,3,1,1,20,21,7,8,2,18,3,3,1,1,22,3,2,1,1
144,17820,droite,16,3,2,2,1,42,6,3,1,1,20,21,7,8,2,18,3,3,1,1,22,3,2,1,1
145,18004,droite,18,4,3,2,1,40,6,3,1,1,18,20,9,7,2,14,3,2,1,1,18,4,2,1,1
146,18008,droite,26,7,6,2,2,33,8,5,3,2,12,14,16,9,4,15,5,3,1,1,21,7,4,1,1
147,18182,droite,29,9,7,3,2,35,11,7,5,4,11,11,22,12,5,17,6,4,1,2,24,9,5,2,2
148,18357,droite,31,11,8,3,3,39,16,11,8,6,10,10,28,14,6,18,7,5,2,2,25,11,6,3,3
149,18357,droite,29,13,8,4,4,47,23,15,12,9,12,11,35,15,7,18,7,7,3,3,24,12,6,4,5
150,18544,droite,29,13,8,4,4,47,23,15,12,9,12,11,35,15,7,18,7,7,3,3,24,12,6,4,5
151,18544,droite,25,13,7,5,5,53,29,19,15,12,14,13,41,16,7,17,9,11,5,4,21,13,5,5,6
152,18904,droite,13,12,4,6,5,58,32,20,17,13,20,15,51,16,6,16,12,24,14,6,13,11,3,6,6
153,18904,droite,13,12,4,6,5,58,32,20,17,13,20,15,51,16,6,16,12,24,14,6,13,11,3,6,6
154,19095,droite,15,10,4,4,2,41,14,6,6,4,32,9,44,23,5,15,16,25,26,8,13,4,1,3,2
155,19273,droite,21,10,4,4,2,39,15,5,4,2,35,10,38,24,5,15,16,18,22,7,16,4,2,3,2
156,19275,droite,25,9,3,3,1,35,17,6,3,2,37,10,31,23,5,14,16,12,17,7,18,4,2,3,2
157,19457,droite,27,8,3,3,1,31,20,8,3,2,37,11,26,21,6,14,16,7,12,5,19,5,2,2,2
158,19460,droite,26,7,3,2,1,29,23,11,4,2,35,11,22,17,6,14,15,4,7,4,19,5,2,2,1
159,19635,droite,23,5,3,2,1,30,26,15,5,3,32,11,19,14,5,13,13,3,4,3,18,4,2,2,1
160,19832,droite,18,4,3,2,1,34,29,18,6,4,29,11,19,10,5,12,11,3,3,2,16,4,2,2,1
161,20017,droite,14,3,3,2,1,40,31,21,6,5,26,14,21,8,6,11,8,5,3,2,15,4,2,2,1
162,20019,droite,17,4,5,3,1,46,32,22,7,6,25,17,26,8,6,10,7,7,4,2,14,5,3,3,1
163,20217,droite,37,7,6,3,2,53,31,21,6,6,25,22,35,9,7,9,8,9,5,2,15,7,4,3,2
164,20221,droite,37,7,6,3,2,53,31,21,6,6,25,22,35,9,7,9,8,9,5,2,15,7,4,3,2
165,20403,droite,173,21,10,4,3,66,30,18,5,5,25,26,51,19,9,12,18,15,6,4,34,22,10,5,3
166,20593,droite,279,34,12,5,4,73,32,17,5,4,24,25,54,26,10,16,26,18,7,4,57,35,14,7,4
167,20776,droite,377,47,14,7,4,82,36,17,5,4,25,23,53,32,11,20,34,20,8,5,87,51,19,9,5
168,20779,droite,443,61,21,11,6,112,62,35,16,6,65,56,82,53,15,26,39,22,9,6,134,91,39,20,8
169,20966,droite,501,243,185,105,21,1016,850,684,413,80,1698,1483,1308,659,117,62,73,48,29,9,1060,939,694,425,86
170,21150,droite,542,359,289,165,30,1593,1348,1106,671,128,2785,2411,2114,1048,185,81,97,64,41,10,1666,1459,1119,689,136
171,21150,droite,617,519,433,244,41,2492,2015,1708,1032,196,4319,3687,3230,1576,279,114,134,86,57,11,2526,2157,1702,1055,203
172,21350,droite,501,421,358,196,33,2491,1707,1462,877,173,3573,3005,2639,1277,231,125,119,77,45,9,2098,1755,1397,865,166
