n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
86,10888,droite,3,3,3,3,1,80,43,33,5,4,1,1,2,18,8,2,1,1,0,0,6,3,2,2,1
87,10984,droite,3,3,2,3,1,67,37,30,4,3,1,1,2,17,8,2,2,1,0,1,7,3,2,3,1
88,11182,droite,4,2,2,3,1,89,23,24,6,3,1,1,3,15,8,2,2,1,1,1,8,2,1,3,1
89,11293,droite,4,2,2,3,1,89,23,24,6,3,1,1,3,15,8,2,2,1,1,1,8,2,1,3,1
90,11381,droite,5,2,1,3,1,122,19,21,8,3,1,1,3,14,9,2,2,1,1,1,8,2,1,3,1
91,11493,droite,4,2,2,3,1,167,18,19,9,3,1,2,3,13,9,2,2,1,1,1,7,1,1,3,1
92,11601,droite,4,1,2,3,2,223,20,19,11,4,1,2,3,12,9,2,2,1,1,1,6,1,2,3,2
93,11720,droite,4,1,2,3,2,296,26,21,12,5,1,2,3,12,9,2,2,2,1,1,5,1,2,3,2
94,11932,droite,4,1,3,3,2,382,36,24,13,5,1,3,3,12,9,2,1,2,1,1,4,1,2,2,2
95,12035,droite,3,1,3,2,2,462,46,27,13,5,1,3,3,11,8,2,1,2,1,1,3,2,3,2,2
96,12156,droite,3,1,4,2,2,518,61,30,11,5,2,4,3,11,8,2,1,3,1,1,3,2,3,2,2
97,12270,droite,3,1,4,2,2,518,61,30,11,5,2,4,3,11,8,2,1,3,1,1,3,2,3,2,2
98,12376,droite,3,1,4,2,2,466,59,29,9,4,2,4,4,11,8,2,1,3,1,1,4,2,4,2,2
99,12501,droite,3,2,5,3,2,372,51,25,8,3,2,4,4,11,8,3,2,3,2,1,4,2,5,3,2
100,12610,droite,4,2,5,3,1,261,41,20,7,2,2,3,3,11,8,5,3,3,2,1,4,3,5,3,1
101,12845,droite,4,2,5,4,1,104,25,14,7,2,3,3,3,12,8,11,5,4,4,2,4,3,6,4,1
102,12847,droite,4,2,5,4,1,104,25,14,7,2,3,3,3,12,8,11,5,4,4,2,4,3,6,4,1
103,12973,droite,4,2,4,4,1,75,24,12,8,2,4,3,3,13,8,13,6,5,5,2,4,3,6,5,1
104,13213,droite,7,3,3,4,1,63,26,10,8,2,5,4,4,13,6,14,7,5,5,1,4,3,5,5,1
105,13213,droite,7,3,3,4,1,63,26,10,8,2,5,4,4,13,6,14,7,5,5,1,4,3,5,5,1
106,13323,droite,8,3,3,4,1,59,25,8,7,1,5,4,4,13,5,13,6,5,4,1,4,2,4,5,1
107,13572,droite,10,3,2,4,2,38,17,4,4,1,5,4,4,13,5,8,3,3,2,1,5,2,2,4,2
108,13575,droite,10,3,2,4,2,38,17,4,4,1,5,4,4,13,5,8,3,3,2,1,5,2,2,4,2
109,13820,droite,10,3,2,3,2,27,13,3,2,1,4,4,3,14,5,6,2,3,2,1,5,2,2,3,2
110,13939,droite,8,2,2,3,2,18,11,3,2,1,4,3,2,14,5,4,1,2,1,1,4,2,2,3,2
111,14074,droite,3,3,9,3,2,7,14,5,2,1,3,2,1,17,5,1,1,0,1,1,3,4,8,3,2
112,14077,droite,3,3,10,3,2,8,16,4,2,1,3,2,1,17,5,1,1,0,1,1,3,4,9,3,2
113,14198,droite,3,3,9,2,2,9,16,3,2,1,4,2,2,17,5,1,1,0,0,1,2,4,8,2,2
114,14451,droite,2,3,8,2,2,9,16,2,2,1,4,2,2,16,5,2,1,0,0,1,2,3,7,2,2
115,14590,droite,2,2,6,2,1,9,15,2,2,1,5,2,2,15,5,2,1,1,0,1,2,3,5,2,2
116,14593,droite,2,2,6,2,1,9,15,2,2,1,5,2,2,15,5,2,1,1,0,1,2,3,5,2,2
117,14847,droite,4,1,3,1,1,10,11,1,2,1,5,2,3,12,4,2,1,1,1,1,1,1,2,1,1
118,14976,droite,5,2,3,1,2,10,10,2,2,1,4,2,3,12,4,2,1,1,1,1,2,1,2,1,1
119,15103,droite,5,2,3,1,2,10,10,4,2,1,3,2,2,13,4,2,1,1,1,1,2,1,2,1,1
120,15106,droite,5,2,3,1,2,10,10,4,2,1,3,2,2,13,4,2,1,1,1,1,2,1,2,1,1
121,15247,droite,5,3,3,1,2,14,13,11,3,1,2,1,2,16,4,3,1,1,1,0,2,2,2,1,2
122,15374,droite,5,3,3,1,2,24,20,26,5,1,1,1,2,19,5,4,1,1,1,0,2,2,3,1,2
123,15525,droite,4,3,3,2,2,46,31,48,10,2,1,2,2,21,5,4,1,1,1,0,2,2,3,2,2
124,15645,droite,3,2,2,3,2,114,58,103,21,5,1,2,2,21,7,4,1,1,1,1,2,2,2,2,2
125,15798,droite,3,2,2,3,2,114,58,103,21,5,1,2,2,21,7,4,1,1,1,1,2,2,2,2,2
