n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
78,9811,neutre,4,7,3,3,3,6,5,3,3,3,3,3,8,10,12,4,5,3,4,3,2,4,3,3,3
79,9990,neutre,4,11,2,3,3,7,4,3,3,3,4,3,7,13,10,5,5,4,4,3,4,6,4,3,3
80,10090,neutre,5,11,3,3,3,7,3,3,3,3,4,3,7,15,8,5,5,4,4,3,4,6,5,3,3
81,10173,neutre,6,11,3,3,3,7,3,4,3,3,4,3,6,17,7,5,4,5,4,3,5,6,5,3,3
82,10358,neutre,7,11,4,3,3,9,3,5,3,3,5,4,7,19,7,4,4,5,3,3,5,5,5,3,3
83,10528,neutre,7,10,5,3,3,12,3,5,3,3,6,5,7,19,7,3,3,4,3,3,5,5,4,3,3
84,10608,neutre,7,9,6,4,3,15,4,5,4,3,8,7,7,19,7,3,3,4,3,2,5,4,4,3,2
85,10802,neutre,6,9,7,4,3,18,4,5,4,3,10,8,7,19,7,3,2,3,3,2,4,4,3,3,2
86,10905,neutre,5,8,8,5,3,20,5,4,4,3,11,8,7,17,7,3,2,3,3,3,4,3,3,3,2
87,10908,neutre,6,6,5,4,3,21,7,4,3,3,9,5,4,12,8,4,3,2,3,3,3,2,2,3,3
88,11105,neutre,8,5,4,4,4,25,7,4,3,3,8,3,4,11,8,4,2,2,4,3,3,2,2,3,3
89,11308,neutre,9,3,2,3,3,38,9,3,3,3,6,2,2,9,7,3,2,2,4,3,4,1,1,3,3
90,11403,neutre,9,3,2,3,3,38,9,3,3,3,6,2,2,9,7,3,2,2,4,3,4,1,1,3,3
91,11405,neutre,9,3,2,3,3,46,14,6,6,4,6,2,2,8,7,10,9,9,10,7,10,8,9,9,7
92,11598,neutre,9,5,4,4,4,70,38,25,24,15,8,6,6,10,8,63,58,55,53,33,60,59,59,53,34
93,11706,neutre,12,10,11,9,7,130,99,79,72,44,14,18,17,16,12,211,198,185,173,109,205,201,202,175,112
94,11920,neutre,27,31,38,28,19,380,342,305,267,167,44,64,64,47,29,830,783,722,674,422,826,791,799,679,430
95,12021,neutre,37,43,54,38,26,524,474,430,375,235,63,90,90,66,39,1176,1110,1018,951,594,1179,1119,1132,957,605
96,12132,neutre,37,43,54,38,26,524,474,430,375,235,63,90,90,66,39,1176,1110,1018,951,594,1179,1119,1132,957,605
97,12236,neutre,45,52,65,46,31,621,558,512,445,279,76,106,108,79,45,1405,1327,1211,1132,705,1419,1335,1351,1139,718
98,12349,neutre,53,54,67,47,32,638,563,523,453,284,80,108,110,83,46,1436,1357,1232,1152,717,1461,1363,1381,1159,730
99,12561,neutre,102,72,70,52,28,453,370,348,303,186,96,115,112,98,44,944,904,812,752,466,1004,906,908,759,473
100,12677,neutre,229,236,186,134,51,412,283,275,246,132,353,280,279,246,87,695,644,584,516,304,743,714,664,528,309
101,12797,neutre,533,729,538,363,123,665,355,373,326,124,1191,752,774,666,212,774,572,553,443,204,707,901,698,470,218
102,12909,neutre,533,729,538,363,123,665,355,373,326,124,1191,752,774,666,212,774,572,553,443,204,707,901,698,470,218
103,13035,neutre,1849,3018,2141,1332,438,2596,1297,1387,1087,304,5281,2894,3018,2473,742,2542,1377,1420,1058,294,1903,3086,2112,1178,381
104,13148,neutre,2682,4454,3126,1894,619,3991,2026,2142,1625,441,7924,4243,4399,3531,1041,3968,2128,2162,1598,425,3029,4768,3267,1793,564
105,13278,neutre,3351,5559,3869,2292,743,5153,2657,2773,2052,545,10014,5303,5445,4284,1244,5235,2835,2825,2057,534,4144,6239,4293,2327,720
106,13400,neutre,3351,5559,3869,2292,743,5153,2657,2773,2052,545,10014,5303,5445,4284,1244,5235,2835,2825,2057,534,4144,6239,4293,2327,720
107,13539,neutre,3634,5961,4119,2391,769,5688,2988,3077,2223,579,10848,5721,5799,4474,1281,5902,3242,3168,2269,578,4856,6986,4828,2591,788
108,13665,neutre,3430,5515,3787,2157,686,5410,2906,2948,2078,531,10127,5350,5336,4034,1138,5727,3199,3063,2157,540,4906,6738,4678,2490,745
109,13802,neutre,1958,2932,1990,1091,338,3042,1744,1702,1130,277,5470,2967,2820,2029,552,3366,1966,1794,1217,294,3161,3915,2748,1446,416
110,13926,neutre,1138,1601,1081,581,176,1714,1035,983,626,150,3005,1687,1541,1073,286,1949,1178,1041,689,163,1943,2254,1594,836,235
111,13928,neutre,1138,1601,1081,581,176,1714,1035,983,626,150,3005,1687,1541,1073,286,1949,1178,1041,689,163,1943,2254,1594,836,235
112,14191,neutre,525,670,451,238,70,745,487,445,266,63,1259,755,649,437,114,874,557,471,301,70,942,1005,718,376,103
113,14332,neutre,38,33,23,12,5,45,37,28,13,6,52,46,32,33,11,44,41,28,17,6,62,52,40,21,7
114,14332,neutre,38,33,23,12,5,45,37,28,13,6,52,46,32,33,11,44,41,28,17,6,62,52,40,21,7
115,14600,neutre,5,4,5,2,4,20,7,3,3,4,3,2,4,18,7,2,6,6,4,4,2,3,6,3,4
116,14600,neutre,5,4,6,3,4,19,6,3,3,4,3,2,5,19,7,3,5,6,4,5,2,3,6,3,4
117,14737,neutre,4,3,7,3,5,19,6,3,4,4,3,3,7,20,7,3,4,7,4,5,2,3,6,3,5
118,14880,neutre,2,4,10,4,5,26,4,2,5,4,3,3,13,20,10,3,4,7,3,5,2,3,6,3,5
119,15018,neutre,2,4,10,4,5,26,4,2,5,4,3,3,13,20,10,3,4,7,3,5,2,3,6,3,5
120,15176,neutre,1,5,8,2,3,27,5,3,4,4,3,3,7,11,10,2,3,6,2,4,1,3,6,2,4
121,15316,neutre,1,4,6,2,3,27,7,4,4,3,4,3,5,9,9,2,2,5,2,4,1,3,4,2,3
122,15467,neutre,1,2,2,2,2,32,12,4,4,3,5,2,3,6,9,1,1,2,2,3,1,1,2,2,2
123,15607,neutre,1,1,2,1,2,34,12,4,4,3,5,2,2,5,9,1,1,2,2,3,1,1,1,1,2
124,15607,neutre,1,1,2,1,2,34,12,4,4,3,5,2,2,5,9,1,1,2,2,3,1,1,1,1,2
125,15761,neutre,1,1,2,1,2,34,8,2,2,2,5,2,2,6,9,1,1,1,2,2,1,0,1,1,2
126,15906,neutre,1,1,2,1,2,34,8,2,2,2,5,2,2,6,9,1,1,1,2,2,1,0,1,1,2
127,15909,neutre,2,1,3,1,2,33,5,2,2,2,4,2,2,8,10,1,2,2,2,2,1,0,1,1,2
128,16210,neutre,3,1,3,2,2,30,3,2,2,2,4,2,3,11,10,1,2,2,2,2,2,1,2,1,2
129,16366,neutre,5,2,5,3,2,28,2,4,2,2,3,3,4,17,10,2,4,4,3,3,3,1,4,2,2
130,16366,neutre,5,2,5,3,2,28,2,4,2,2,3,3,4,17,10,2,4,4,3,3,3,1,4,2,2
131,16510,neutre,6,2,5,5,3,29,3,7,4,2,3,4,5,18,9,2,4,5,4,4,3,3,5,4,3
132,16669,neutre,6,2,5,5,3,29,3,7,4,2,3,4,5,18,9,2,4,5,4,4,3,3,5,4,3
133,16815,neutre,6,2,5,5,3,27,3,7,4,3,5,5,5,16,7,4,4,5,5,4,3,4,5,5,4
134,16971,neutre,6,2,5,5,3,27,3,7,4,3,5,5,5,16,7,4,4,5,5,4,3,4,5,5,4
135,16974,neutre,5,2,5,5,3,24,3,6,4,3,7,5,6,16,7,4,4,4,5,4,3,4,4,5,3
136,17121,neutre,4,2,5,5,3,20,2,4,4,3,8,4,7,17,6,4,3,4,4,4,3,4,4,5,3
137,17283,neutre,3,2,5,4,3,16,2,3,3,3,8,4,9,18,6,4,2,3,4,4,3,4,4,5,3
138,17437,neutre,3,2,4,4,3,12,1,2,3,2,8,4,10,19,7,3,2,2,3,3,3,3,3,4,3
139,17439,neutre,3,3,4,3,3,10,1,1,3,2,7,4,10,19,8,3,2,2,3,3,3,4,2,3,3
140,17605,neutre,4,3,3,3,3,9,1,1,2,2,6,4,10,18,8,3,2,1,2,3,3,4,2,3,3
141,17756,neutre,5,4,3,2,3,9,2,1,2,2,5,4,9,16,9,3,2,1,2,3,4,5,2,2,3
142,17928,neutre,5,4,3,2,2,10,2,1,2,2,4,5,9,14,10,3,2,2,2,3,5,5,1,2,3
143,18092,neutre,5,4,3,2,2,11,2,1,2,2,4,6,8,13,10,3,3,2,2,3,5,6,2,2,2
144,18269,neutre,4,4,4,2,2,12,3,2,3,2,4,8,7,11,12,3,3,3,2,3,5,5,2,2,3
145,18273,neutre,4,4,4,2,2,12,3,2,3,2,4,8,7,11,12,3,3,3,2,3,5,5,2,2,3
146,18440,neutre,3,3,4,2,2,12,3,2,3,2,5,9,7,11,13,3,2,3,2,3,4,4,2,2,3
147,18619,neutre,3,2,4,2,3,8,3,2,3,3,5,7,7,12,15,2,2,3,3,3,3,2,3,2,4
148,18619,neutre,3,2,4,2,3,8,3,2,3,3,5,7,7,12,15,2,2,3,3,3,3,2,3,2,4
149,18788,neutre,7,2,4,3,3,7,4,2,3,3,6,4,8,12,16,2,3,4,4,4,3,2,3,3,4
150,18975,neutre,7,2,4,3,3,7,4,2,3,3,6,4,8,12,16,2,3,4,4,4,3,2,3,3,4
151,18977,neutre,8,3,5,3,3,7,4,3,3,3,6,2,8,12,16,2,4,5,5,3,4,3,4,3,3
152,19145,neutre,10,4,5,4,3,8,4,3,4,3,6,2,7,11,15,3,5,6,5,3,4,5,4,4,3
153,19328,neutre,10,6,6,4,2,8,4,3,4,2,6,1,6,12,13,3,6,6,6,3,4,6,4,5,3
154,19502,neutre,9,6,5,5,2,10,4,3,5,2,5,1,5,13,11,3,6,6,6,3,4,6,4,5,2
155,19504,neutre,7,7,5,6,2,11,4,2,6,2,4,1,5,17,9,3,6,6,7,3,3,6,4,6,2
156,19692,neutre,6,7,4,6,2,14,4,2,6,2,3,2,6,21,8,2,5,5,6,3,3,5,3,6,2
157,19871,neutre,16,19,17,17,9,19,8,5,11,5,8,10,15,30,12,2,4,4,6,3,3,5,3,6,2
158,19871,neutre,73,83,84,71,45,40,31,23,29,17,40,46,54,58,32,3,4,4,6,3,6,7,5,8,4
159,20065,neutre,217,243,248,206,130,89,87,68,74,46,119,134,143,123,81,6,6,5,7,5,18,14,9,12,8
160,20245,neutre,461,508,519,429,268,172,179,141,147,94,251,277,285,228,161,11,11,6,10,8,48,27,16,20,14
161,20248,neutre,769,833,852,702,436,277,292,231,236,152,413,450,457,355,258,18,17,8,13,11,96,45,24,30,21
162,20443,neutre,1063,1129,1153,949,586,375,394,312,316,204,561,607,611,468,345,26,22,9,17,14,159,65,32,39,28
163,20446,neutre,1256,1301,1324,1086,668,435,452,357,359,233,645,694,695,531,394,31,25,10,19,16,224,79,36,44,32
164,20638,neutre,1291,1288,1305,1066,652,437,444,349,351,229,636,681,680,520,387,32,25,9,19,16,277,85,35,43,32
165,20835,neutre,1167,1097,1101,895,545,380,374,292,293,192,536,572,571,438,327,29,22,7,16,14,305,81,30,36,27
166,20836,neutre,936,795,785,635,384,283,267,206,207,137,382,406,406,313,235,23,16,5,13,11,304,69,22,26,20
167,21025,neutre,676,482,459,368,221,178,156,118,120,80,222,235,238,186,142,16,11,4,9,7,276,54,14,16,13
168,21223,neutre,454,237,207,164,98,92,71,52,53,36,99,104,109,89,70,10,7,3,6,5,231,39,7,9,7
169,21229,neutre,155,24,3,3,3,8,2,2,2,2,5,3,9,11,13,4,6,3,3,3,99,16,2,3,3
170,21416,neutre,177,16,5,3,3,7,1,2,2,1,8,4,9,11,11,4,6,4,2,3,115,12,4,3,3
171,21418,neutre,332,15,9,3,1,7,1,1,2,1,16,5,6,8,7,4,4,4,3,2,218,11,5,3,2
172,21619,neutre,321,13,8,2,1,6,1,1,2,1,21,5,5,6,6,3,3,3,2,2,212,9,5,3,1
173,21813,neutre,184,7,5,2,1,4,2,1,1,1,26,7,4,5,5,3,1,2,2,1,125,5,3,2,1
174,22017,neutre,105,5,3,2,1,3,2,2,1,1,26,8,3,5,5,3,1,2,2,1,73,3,2,2,1
175,22019,neutre,47,4,2,2,1,4,2,2,1,1,23,8,3,5,5,2,1,1,2,1,33,2,2,2,1
176,22208,neutre,47,4,2,2,1,4,2,2,1,1,23,8,3,5,5,2,1,1,2,1,33,2,2,2,1
177,22213,neutre,15,4,1,1,1,5,3,2,1,1,18,8,3,7,5,2,1,1,2,1,11,2,1,2,1
178,22419,neutre,4,5,1,1,1,8,3,3,1,1,13,7,3,9,5,2,2,2,1,1,3,3,1,1,1
179,22421,neutre,3,6,1,1,1,12,5,4,1,2,9,7,4,11,5,2,2,2,1,1,2,4,1,1,1
180,22617,neutre,3,7,2,1,1,17,7,4,1,2,7,7,4,15,5,2,3,2,1,2,2,5,2,1,1
181,22828,neutre,3,8,2,1,1,21,10,6,2,2,8,7,5,19,6,2,4,2,1,2,4,8,3,3,2
182,22829,neutre,5,12,4,4,3,35,25,20,14,9,13,10,8,27,8,3,6,4,3,3,31,36,31,26,18
