n,time,metadata,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
31,3953,droite,353,74,286,524,309,130,130,136,124,159,167,104,171,278,206,269,123,510,449,358,403,251,591,444,614
32,4076,droite,291,68,287,480,286,115,118,152,117,157,162,113,190,248,199,199,122,490,392,331,324,248,583,442,611
33,4212,droite,250,76,293,429,257,109,114,181,117,160,157,118,208,224,205,150,126,443,343,307,273,242,535,432,568
34,4345,droite,229,95,301,383,231,116,118,209,121,164,156,122,223,212,219,129,133,379,315,290,247,238,465,422,497
35,4555,droite,225,117,306,345,212,133,127,224,126,166,158,123,237,211,232,139,139,314,310,278,241,234,389,418,418
36,4796,droite,236,131,296,315,201,152,138,220,131,167,167,122,249,215,237,178,142,263,320,271,252,233,324,423,352
37,2,droite,264,131,268,288,191,169,145,200,139,169,183,120,258,220,231,239,138,230,329,262,281,232,274,430,309
38,2,droite,303,117,226,261,180,178,146,173,152,174,206,117,263,220,214,310,128,214,326,250,328,232,232,432,288
39,7,droite,338,95,182,236,165,184,139,156,168,182,227,112,263,217,193,370,116,209,307,234,382,232,196,420,282
40,8,droite,352,81,154,214,150,190,126,159,182,191,237,108,261,211,174,401,106,210,282,219,420,237,167,395,283
41,186,droite,336,94,152,202,141,200,109,185,190,198,234,109,258,207,162,394,104,216,265,212,427,251,150,360,285
42,382,droite,298,141,173,201,142,223,93,229,189,202,220,121,256,210,157,352,111,223,272,215,398,273,144,324,285
43,406,droite,251,212,202,217,153,260,91,277,183,203,200,144,253,226,159,291,129,229,312,230,344,303,147,295,279
44,474,droite,216,286,225,249,173,306,116,313,173,201,182,174,248,255,167,230,156,228,380,252,289,341,150,277,268
45,705,droite,206,341,237,287,196,349,174,327,163,195,173,207,240,290,181,190,192,221,456,276,252,386,149,270,256
46,981,droite,219,368,241,319,216,376,257,314,152,186,176,236,225,319,197,179,234,204,514,293,245,442,140,267,243
47,989,droite,268,351,247,309,231,359,414,235,130,157,194,266,173,305,210,205,301,149,493,282,297,560,113,244,226
48,1081,droite,268,351,247,309,231,359,414,235,130,157,194,266,173,305,210,205,301,149,493,282,297,560,113,244,226
49,1096,droite,274,330,245,269,228,322,447,192,122,142,197,258,142,258,198,219,307,121,414,256,326,590,104,226,225
50,1256,droite,263,313,232,228,222,284,436,162,124,132,195,239,115,199,177,232,293,102,316,227,342,584,104,220,231
51,1344,droite,240,299,209,210,224,253,390,152,140,132,189,211,97,144,156,247,269,98,226,207,339,541,109,242,244
52,1519,droite,214,284,182,235,239,230,321,162,169,143,184,181,87,106,145,267,243,107,165,206,314,466,118,300,259
53,1623,droite,195,261,163,307,270,213,249,191,208,165,182,153,84,91,150,295,226,121,142,230,274,376,127,390,272
54,1707,droite,185,227,164,415,310,197,187,231,249,191,188,131,87,102,172,329,220,134,156,275,227,290,134,498,281
55,1885,droite,185,191,185,532,349,180,143,273,284,216,206,118,92,137,206,362,226,141,204,334,185,227,143,599,286
56,1976,droite,189,162,218,625,380,166,118,304,307,237,238,117,99,194,244,382,235,148,278,395,155,195,160,665,294
57,2130,droite,195,150,250,668,394,153,109,315,317,247,279,121,109,264,279,380,237,163,360,446,137,191,184,679,307
58,2291,droite,200,163,279,646,389,139,111,305,313,247,317,124,121,332,306,355,226,190,430,475,127,211,215,636,322
59,2369,droite,210,205,312,573,373,129,115,276,300,236,344,122,133,387,322,321,207,225,474,478,128,251,247,556,337
60,2540,droite,232,273,353,482,360,123,117,239,285,217,353,117,144,422,329,293,186,258,489,460,138,307,271,475,351
61,2650,droite,269,350,399,413,362,125,117,207,270,195,346,113,149,438,332,287,174,273,487,435,159,368,282,428,367
62,2737,droite,317,415,432,388,384,133,115,184,257,174,329,117,150,442,335,302,173,261,481,418,183,421,276,431,390
63,2916,droite,362,446,436,406,421,148,112,169,247,158,309,132,146,439,339,331,182,227,479,412,198,454,259,476,422
64,2987,droite,388,437,400,444,456,173,111,160,237,148,288,153,144,427,342,354,195,181,478,414,197,458,237,535,456
65,3149,droite,384,398,331,472,478,211,114,158,227,145,264,177,147,405,337,353,206,143,464,412,184,441,220,576,483
66,3229,droite,349,349,248,468,475,261,122,162,220,144,236,194,162,371,324,328,215,130,427,400,171,423,216,575,489
67,3385,droite,295,313,178,432,448,313,134,170,218,143,203,199,192,328,304,292,224,152,365,375,176,433,227,530,470
68,3461,droite,239,308,140,377,403,351,146,186,218,140,176,196,233,283,281,268,244,206,292,342,207,488,250,457,430
69,3638,droite,196,336,141,321,354,360,155,208,220,136,167,193,276,245,260,276,286,277,230,312,260,589,274,377,385
70,3722,droite,178,383,170,280,317,335,160,234,219,132,184,199,314,221,246,319,354,344,202,294,321,717,288,317,356
71,3903,droite,184,429,210,259,299,282,161,255,212,130,220,220,341,209,241,381,443,394,214,290,367,841,289,290,355
72,3996,droite,203,459,250,254,298,219,163,261,200,132,262,248,349,201,241,436,530,415,253,296,383,919,278,294,380
73,4085,droite,222,464,285,256,307,162,168,252,189,142,292,270,336,190,243,462,587,404,297,303,363,925,253,315,413
74,4266,droite,230,445,320,258,313,122,174,232,184,161,300,274,305,176,243,451,590,369,327,305,322,852,221,339,435
75,4370,droite,228,410,361,260,309,100,179,206,187,186,294,257,264,164,242,420,535,323,336,299,282,721,192,358,432
76,4541,droite,222,369,408,257,292,94,179,182,197,214,286,226,223,159,242,395,441,280,324,287,257,566,168,365,404
77,4720,droite,215,327,460,249,267,100,175,163,206,240,291,195,198,164,241,391,338,254,303,270,248,419,156,363,357
78,4722,droite,209,290,516,239,240,120,168,152,209,259,307,173,201,179,238,409,258,262,282,250,247,301,169,358,308
79,4842,droite,204,265,573,233,216,153,160,151,203,267,328,164,241,201,234,437,218,314,271,232,246,221,213,353,269
