n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
153,19341,94,38,5,4,2,1001,107,11,10,6,24,22,16,58,73,110,57,13,7,5,3,7,2,2,2
154,19342,94,38,5,4,2,1001,107,11,10,6,24,22,16,58,73,110,57,13,7,5,3,7,2,2,2
155,19669,82,32,5,4,2,764,75,6,6,4,24,24,19,64,81,121,65,14,8,6,3,6,2,2,2
156,19669,63,23,4,3,2,477,44,3,3,2,26,28,21,65,89,114,65,13,8,7,5,6,1,2,2
157,19922,26,9,3,3,1,121,46,11,8,10,28,35,20,59,96,64,42,9,6,7,10,4,1,2,2
158,19922,26,9,3,3,1,121,46,11,8,10,28,35,20,59,96,64,42,9,6,7,10,4,1,2,2
159,20135,15,5,2,3,1,419,260,75,61,68,27,39,17,53,94,38,27,7,5,6,11,4,1,2,2
160,20135,11,4,2,3,1,2036,887,259,221,218,26,44,15,47,89,19,16,6,4,5,12,4,2,2,2
161,20369,10,4,2,3,1,5873,2070,598,520,477,24,50,14,41,81,9,9,6,3,4,11,4,2,2,1
162,20369,9,5,2,3,1,11855,3696,1053,926,805,22,56,14,35,72,7,6,6,3,3,10,5,2,3,1
163,20707,8,5,3,2,1,18996,5382,1516,1342,1114,21,59,16,29,62,8,5,6,3,3,8,5,3,3,1
164,20708,6,5,3,2,1,25174,6610,1842,1636,1304,21,60,18,23,51,8,4,5,3,2,7,6,3,3,1
165,20709,5,5,4,2,1,28338,6958,1920,1705,1307,20,56,19,19,42,9,4,4,2,2,6,6,4,3,1
166,20943,5,5,6,2,2,22604,4876,1315,1161,814,17,37,18,14,27,9,5,3,2,2,6,6,5,2,1
167,20943,5,5,6,2,2,15816,3156,840,734,485,14,27,15,13,23,7,5,3,2,2,5,6,5,2,2
168,21182,5,5,6,2,2,8922,1640,429,368,224,11,18,12,13,21,6,6,4,2,2,5,6,6,2,2
169,21582,6,5,6,2,2,3934,632,163,133,71,9,11,10,14,21,4,6,5,2,2,5,6,6,2,2
170,21586,7,5,5,2,2,1127,155,42,31,12,10,6,9,14,22,3,6,6,2,2,5,7,6,2,2
171,21587,7,5,5,2,2,237,19,13,10,2,12,4,10,13,23,2,5,7,2,2,5,7,6,2,2
172,21957,7,5,5,2,2,237,19,13,10,2,12,4,10,13,23,2,5,7,2,2,5,7,6,2,2
173,21958,8,5,4,2,1,89,11,43,22,7,17,3,12,13,24,1,4,6,2,2,7,7,6,2,1
174,21960,7,4,4,2,1,103,16,75,30,10,18,3,13,14,25,1,3,6,2,1,7,6,5,2,1
175,21960,6,4,3,2,1,100,23,112,38,13,17,3,14,15,25,1,2,6,2,1,7,5,4,2,1
176,22279,5,3,3,2,1,93,31,145,47,15,16,2,14,17,25,1,2,6,2,1,6,4,2,2,1
177,22279,4,4,2,2,1,71,40,164,55,17,14,3,13,18,25,1,1,6,2,1,5,3,2,2,1
178,22586,3,4,2,1,1,74,53,165,63,17,12,3,13,19,25,1,1,6,3,1,4,4,2,2,1
179,22586,2,5,2,1,1,95,77,154,71,17,11,5,12,19,25,1,1,6,3,1,2,6,2,2,1
180,22587,2,6,2,1,1,197,115,140,78,17,10,7,12,18,25,1,1,6,3,1,2,7,2,2,1
181,22902,2,7,2,1,1,333,165,135,83,16,11,9,12,17,25,2,1,6,3,1,1,8,2,2,1
182,22902,2,7,2,1,1,333,165,135,83,16,11,9,12,17,25,2,1,6,3,1,1,8,2,2,1
183,23127,2,7,2,2,1,513,219,140,85,16,11,10,12,17,26,3,1,6,3,1,1,9,2,2,1
184,23128,4,6,2,2,1,739,282,157,74,16,15,10,12,16,27,4,2,6,2,1,3,7,2,2,1
185,23401,5,5,3,2,1,728,274,151,64,16,17,9,12,16,28,4,2,6,2,2,5,6,2,2,1
186,23402,7,5,3,3,1,635,241,132,53,16,19,8,12,15,29,4,2,5,2,2,7,5,2,2,1
187,23905,7,5,3,3,1,635,241,132,53,16,19,8,12,15,29,4,2,5,2,2,7,5,2,2,1
188,23906,8,6,4,3,1,512,193,104,43,15,20,7,11,14,30,4,2,4,2,3,8,5,2,2,1
189,23908,9,6,4,3,1,380,143,76,35,15,21,6,10,13,32,3,2,3,2,3,8,5,3,2,1
190,23909,9,6,5,3,1,289,102,54,30,16,20,6,9,13,34,2,2,3,3,4,9,5,3,2,1
191,24188,9,6,4,3,1,227,74,39,26,17,19,8,9,12,39,2,1,2,3,4,9,6,4,2,1
192,24189,9,6,4,2,1,190,58,31,24,17,18,12,10,13,47,2,1,2,3,4,10,6,4,2,1
193,24190,10,6,3,2,1,162,53,26,23,18,16,17,12,14,59,2,0,2,3,4,11,8,4,2,1
194,24521,10,6,3,2,1,138,59,23,22,19,15,21,15,16,74,3,0,1,4,4,13,8,4,2,1
195,24522,11,6,3,2,1,129,75,20,22,19,15,24,18,19,90,3,0,2,4,3,13,9,4,3,1
196,24901,10,6,3,2,1,145,100,20,23,19,14,26,21,22,104,3,0,2,4,3,13,8,4,3,2
197,24902,8,5,3,2,1,180,127,22,23,20,14,28,22,23,113,3,1,3,4,3,10,6,4,3,2
198,24903,4,3,3,2,1,293,155,33,25,21,12,32,19,22,112,2,1,6,4,3,5,3,4,3,1
199,25164,4,3,3,2,1,293,155,33,25,21,12,32,19,22,112,2,1,6,4,3,5,3,4,3,1
200,25166,2,2,2,2,1,371,122,44,28,20,10,34,13,19,93,1,2,8,3,4,3,2,2,2,1
201,25482,3,2,1,2,1,373,96,45,30,17,9,32,12,18,84,1,3,8,2,4,4,2,2,2,1
202,25484,3,2,1,1,1,436,101,48,32,15,9,28,13,20,77,2,3,7,2,4,4,2,1,1,1
203,25485,3,2,1,1,1,771,207,63,35,13,9,24,18,22,73,3,3,6,2,4,6,2,1,1,1
204,25886,5,2,1,1,1,1632,480,104,41,13,10,20,23,25,70,7,4,6,2,3,8,2,0,1,1
205,25887,7,2,1,1,1,3066,927,171,49,14,11,17,28,28,67,12,4,6,1,3,10,1,1,1,1
206,25888,10,3,1,1,1,4819,1458,252,57,15,12,15,31,30,63,18,4,6,1,3,13,2,1,1,1
207,26149,14,4,1,1,1,6390,1913,323,63,16,13,14,32,32,59,23,5,6,1,3,15,2,1,1,1
208,26150,18,5,1,1,2,7252,2134,359,65,16,15,14,31,33,54,26,5,5,1,3,17,3,2,2,2
209,26455,21,5,1,1,2,7112,2040,347,62,15,18,13,28,32,50,27,4,5,1,3,18,3,2,2,2
210,26456,20,5,2,1,2,5994,1664,291,56,15,21,12,25,30,45,25,4,4,1,3,17,4,3,2,1
211,26457,20,5,2,1,2,5994,1664,291,56,15,21,12,25,30,45,25,4,4,1,3,17,4,3,2,1
212,26868,18,5,2,2,1,4299,1146,212,50,15,23,11,22,28,42,21,3,3,1,3,15,4,3,2,1
213,26869,10,4,3,2,1,1260,325,94,48,18,21,8,18,22,42,13,3,2,1,3,8,4,3,2,1
214,26870,7,4,3,1,1,538,173,80,51,19,18,8,15,19,45,9,3,1,1,3,6,4,3,2,1
215,27199,7,4,3,1,1,538,173,80,51,19,18,8,15,19,45,9,3,1,1,3,6,4,3,2,1
216,27199,5,3,3,1,1,194,156,97,56,17,11,14,10,15,50,6,3,2,2,2,4,3,3,2,1
217,27201,5,3,3,1,1,194,156,97,56,17,11,14,10,15,50,6,3,2,2,2,4,3,3,2,1
218,27509,5,3,2,1,1,159,155,100,56,15,10,19,9,17,49,5,3,2,2,2,4,2,3,2,1
219,27510,6,3,2,1,1,147,145,96,56,14,10,24,10,20,43,4,4,2,2,2,5,2,2,2,1
220,27901,7,3,2,1,1,148,132,90,56,14,10,28,12,25,36,4,4,2,1,2,7,2,2,1,1
221,27901,8,3,2,1,1,184,119,84,57,15,10,31,16,31,29,3,4,2,1,2,9,2,3,1,1
222,27902,10,4,3,1,1,253,111,89,59,19,10,33,20,34,23,3,3,1,1,2,12,3,3,1,1
223,28190,12,4,4,1,1,350,114,112,59,23,9,33,22,35,20,4,3,1,1,1,15,3,3,1,1
224,28191,14,5,5,1,1,445,134,161,58,27,8,32,22,33,19,5,3,1,1,1,18,3,4,1,1
225,28192,16,5,5,1,1,525,173,232,54,31,7,29,20,30,21,7,4,2,1,1,19,4,4,1,1
226,28599,17,5,5,1,1,534,220,309,49,32,7,24,17,28,22,8,4,2,1,1,19,4,4,1,1
227,28601,16,6,5,2,1,488,264,370,44,31,7,18,15,27,24,10,5,3,1,1,17,4,5,1,1
228,28935,13,6,4,2,1,383,294,396,38,29,8,14,15,27,25,10,5,4,1,1,14,4,5,1,1
229,28936,11,6,4,2,2,294,303,377,33,26,9,11,16,27,25,9,5,5,1,1,12,5,6,1,2
230,28937,10,6,15,3,3,755,305,245,33,23,12,13,20,23,24,5,4,6,1,2,11,6,16,3,3
231,28937,15,6,33,7,6,1794,354,190,42,23,13,16,22,20,24,4,3,7,1,2,14,6,32,6,5
232,29253,24,9,62,13,10,3266,453,171,58,25,12,20,23,18,25,5,2,8,2,3,21,8,60,13,10
233,29254,39,16,102,22,16,4975,579,188,77,27,11,24,25,18,26,7,2,9,2,3,30,15,100,22,15
234,29707,39,16,102,22,16,4975,579,188,77,27,11,24,25,18,26,7,2,9,2,3,30,15,100,22,15
235,29708,101,47,183,40,27,6951,722,233,96,25,11,28,31,29,33,13,5,15,3,5,71,43,181,40,27
236,29708,101,47,183,40,27,6951,722,233,96,25,11,28,31,29,33,13,5,15,3,5,71,43,181,40,27
237,29710,210,82,198,42,28,5320,535,179,71,15,14,28,35,46,42,28,12,19,3,5,150,69,197,42,28
238,30045,210,82,198,42,28,5320,535,179,71,15,14,28,35,46,42,28,12,19,3,5,150,69,197,42,28
239,30045,287,88,130,26,17,1976,222,80,28,6,16,27,34,50,47,51,19,18,3,5,211,61,128,26,17
240,30380,282,76,86,16,10,858,169,79,21,5,16,25,32,44,47,60,20,16,3,5,210,46,83,16,11
241,30380,244,59,50,9,6,489,276,167,39,9,14,23,29,33,46,61,18,13,3,5,184,30,46,8,6
