n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
70,8875,neutre,1,0,0,0,0,3,1,1,1,1,0,1,0,8,12,0,0,0,0,0,0,0,0,0,0
71,8966,neutre,42,35,22,9,4,11,9,6,3,2,9,9,5,10,13,2,2,1,1,0,1,1,1,0,0
72,9120,neutre,346,266,163,62,25,72,55,34,14,6,71,58,36,20,17,18,14,8,3,1,12,9,5,2,1
73,9280,neutre,1231,919,552,204,82,238,182,112,43,18,253,196,121,48,29,63,47,29,10,4,40,29,18,7,3
74,9280,neutre,2859,2095,1246,448,180,542,410,252,92,38,588,444,272,97,49,146,106,64,23,9,94,67,40,15,6
75,9452,neutre,5031,3641,2148,758,304,935,708,434,156,64,1035,770,469,159,74,256,185,111,39,16,164,117,69,25,10
76,9631,neutre,8673,6157,3591,1232,493,1581,1189,728,255,103,1784,1303,786,255,114,440,312,185,63,26,282,198,115,40,16
77,9722,neutre,8932,6287,3648,1236,493,1613,1212,741,257,103,1839,1331,800,256,114,453,318,187,63,26,290,202,117,41,16
78,9909,neutre,7882,5501,3174,1061,423,1414,1059,647,223,89,1629,1164,697,221,100,399,278,163,54,22,256,177,102,35,14
79,10006,neutre,5900,4078,2339,771,307,1052,787,480,165,66,1231,863,515,162,76,298,206,120,39,16,191,131,75,25,10
80,10115,neutre,5900,4078,2339,771,307,1052,787,480,165,66,1231,863,515,162,76,298,206,120,39,16,191,131,75,25,10
81,10215,neutre,1768,1190,671,212,84,336,244,149,56,23,399,255,152,50,31,89,60,34,11,4,57,38,21,7,3
82,10328,neutre,1768,1190,671,212,84,336,244,149,56,23,399,255,152,50,31,89,60,34,11,4,57,38,21,7,3
83,10418,neutre,4,2,1,0,0,254,34,25,40,17,67,18,11,9,13,0,0,0,0,0,0,0,0,0,0
